Date,Open,High,Low,Close,Volume
2018-04-06T15:22:00.000Z,6585,6585.1,6585,6585.1,4.81404094
2018-04-06T15:23:00.000Z,6585.1,6598,6585.1,6594.1,28.63568937
2018-04-06T15:24:00.000Z,6594,6594.1,6594,6594.1,3.97934487
2018-04-06T15:25:00.000Z,6594,6594.1,6587,6587,4.07247427
2018-04-06T15:26:00.000Z,6587,6587,6585,6585.8,29.28307399
2018-04-06T15:27:00.000Z,6585.4,6587.7,6585,6587.7,21.41249596
2018-04-06T15:28:00.000Z,6588.4,6590,6588.3,6588.7,13.13097013
2018-04-06T15:29:00.000Z,6588.9,6594,6588.9,6591.103728,11.02068481
2018-04-06T15:30:00.000Z,6591.2,6595.6,6591.103728,6594,2.46204909
2018-04-06T15:31:00.000Z,6594,6595.5,6593.9,6593.969951,12.57197152
2018-04-06T15:32:00.000Z,6593.9,6593.9,6591.1,6592.698745,3.95764717
2018-04-06T15:33:00.000Z,6592.662347,6592.662347,6592.6,6592.6,0.1194605
2018-04-06T15:34:00.000Z,6592.698745,6592.698745,6592.6,6592.662347,0.60689565
2018-04-06T15:35:00.000Z,6592.662347,6592.7,6592.6,6592.7,3.48360916
2018-04-06T15:36:00.000Z,6592.6,6592.609235,6589.5,6589.5,5.42277472
2018-04-06T15:37:00.000Z,6589.5,6589.6,6589.5,6589.5,7.4914287
2018-04-06T15:38:00.000Z,6589.5,6589.6,6589.5,6589.5,5.2814599
2018-04-06T15:39:00.000Z,6589.5,6589.6,6589.4,6589.4,7.27374522
2018-04-06T15:40:00.000Z,6589.4,6589.5,6588.5,6589.4,2.44219639
2018-04-06T15:41:00.000Z,6589.4,6589.5,6589.4,6589.4,0.97306077
2018-04-06T15:42:00.000Z,6589.5,6589.5,6589.3,6589.3,7.63618195
2018-04-06T15:43:00.000Z,6589.4,6589.4,6586.6,6588.6,8.16443463
2018-04-06T15:44:00.000Z,6588.6,6597.7,6588.552732,6597.519164,25.63038699
2018-04-06T15:45:00.000Z,6597.6,6597.6,6590.2,6590.723363,7.81695349
2018-04-06T15:46:00.000Z,6590.8,6590.8,6590.7,6590.8,2.13747106
2018-04-06T15:47:00.000Z,6590.8,6590.8,6590.70094,6590.8,3.05213301
2018-04-06T15:48:00.000Z,6590.70094,6590.8,6590.7,6590.8,4.31314717
2018-04-06T15:49:00.000Z,6590.8,6590.8,6590.7,6590.8,0.4426
2018-04-06T15:50:00.000Z,6590.7,6590.8,6590.7,6590.8,0.73454911
2018-04-06T15:51:00.000Z,6590.8,6590.8,6590.7,6590.7,3.16309732
2018-04-06T15:52:00.000Z,6590.7,6590.8,6588,6588,52.49685884
2018-04-06T15:53:00.000Z,6587.9,6587.9,6560,6560,160.6902435
