created_at,retweet_count,sentiment,followers_count,verified
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053257,488,0.5,1,0
1523053256,2,0.5,5291,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053257,488,0.5,1,0
1523053256,1,0.5,5291,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053259,141,0.5,24,0
1523053258,39,0.5,322,0
1523053259,141,0.5,24,0
1523053258,39,0.5,322,0
1523053256,2,0.5,5291,0
1523053258,39,0.5,322,0
1523053257,488,0.5,1,0
1523053257,2,0.5,2041,0
1523053256,2,0.5,5291,0
1523053255,3299,0.5,236,0
1523053255,0,0.5,836,0
1523053258,376,0.5,750,0
1523053257,488,0.5,1,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053257,2,0.5,2041,0
1523053258,39,0.5,322,0
1523053257,488,0.5,1,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053257,488,0.5,1,0
1523053257,2,0.5,2041,0
1523053256,2,0.5,5291,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053257,488,0.5,1,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053257,2,0.5,2041,0
1523053257,488,0.5,1,0
1523053257,2,0.5,2041,0
1523053256,2,0.5,5291,0
1523053255,0,0.5,359,0
1523053255,9,0.5,434,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053257,488,0.5,1,0
1523053257,2,0.5,2041,0
1523053256,2,0.5,5291,0
1523053255,0,0.5,359,0
1523053255,9,0.5,434,0
1523053255,3299,0.5,236,0
1523053255,0,0.5,836,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053257,488,0.5,1,0
1523053257,2,0.5,2041,0
1523053256,1,0.5,5291,0
1523053255,0,0.5,359,0
1523053255,9,0.5,434,0
1523053257,2,0.5,2041,0
1523053255,0,0.5,359,0
1523053255,9,0.5,434,0
1523053255,3299,0.5,236,0
1523053255,0,0.5,836,0
1523053259,141,0.5,24,0
1523053258,376,0.5,750,0
1523053258,39,0.5,322,0
1523053259,141,0.5,24,0
