created_at,retweet_count,sentiment,followers_count,verified
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053668,2,0.5,14340,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053668,2,0.5,14340,0
1523053678,25,0.5,259,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053671,0,0.5,382,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053671,0,0.5,382,0
1523053668,3305,0.5,294,0
1523053668,0,0.5,611,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053671,0,0.5,382,0
1523053678,25,0.5,259,0
1523053668,3305,0.5,294,0
1523053676,33,0.5,994,0
1523053668,0,0.5,611,0
1523053675,0,0.5,10,0
1523053668,23,0.5,1361,0
1523053668,2,0.5,14340,0
1523053668,3305,0.5,294,0
1523053678,25,0.5,259,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053678,25,0.5,259,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053675,0,0.5,10,0
1523053676,33,0.5,994,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053676,33,0.5,994,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053671,0,0.5,382,0
1523053668,3305,0.5,294,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053678,25,0.5,259,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053676,33,0.5,994,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053668,0,0.5,611,0
1523053678,25,0.5,259,0
1523053675,0,0.5,10,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053675,0,0.5,10,0
1523053675,0,0.5,10,0
1523053671,0,0.5,382,0
1523053668,3305,0.5,294,0
1523053668,0,0.5,611,0
1523053671,0,0.5,382,0
1523053668,3305,0.5,294,0
1523053668,0,0.5,611,0
1523053668,23,0.5,1361,0
1523053671,0,0.5,382,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053678,25,0.5,259,0
1523053668,23,0.5,1361,0
1523053671,0,0.5,382,0
1523053668,3305,0.5,294,0
1523053668,0,0.5,611,0
1523053668,23,0.5,1361,0
1523053671,0,0.5,382,0
1523053678,25,0.5,259,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053668,3305,0.5,294,0
1523053678,25,0.5,259,0
1523053668,23,0.5,1361,0
1523053676,33,0.5,994,0
1523053675,0,0.5,10,0
1523053668,0,0.5,611,0
1523053668,2,0.5,14340,0
1523053668,23,0.5,1361,0
